Datum;Erster;Hoch;Tief;Schlusskurs
11.09.2019;62,81;63,25;60,53;61,05
10.09.2019;62,65;63,75;62,16;62,45
09.09.2019;62,06;63,01;61,61;62,71
06.09.2019;60,95;61,87;59,41;61,51
05.09.2019;60,58;62,36;60,27;60,81
04.09.2019;58,59;60,96;58,25;60,65
03.09.2019;58,4;58,47;57,21;58,28
02.09.2019;59,15;59,22;58,09;58,6
30.08.2019;60,72;61,13;60,23;60,41
29.08.2019;60,3;61,19;60,07;61,02
28.08.2019;59,9;60,98;59,78;60,43
27.08.2019;58,86;59,64;58,46;59,51
26.08.2019;59,2;60,12;58,56;58,88
23.08.2019;60,16;60,21;58,33;59,08
22.08.2019;60,21;60,91;59,47;59,9
21.08.2019;60,31;61,4;60,13;60,33
20.08.2019;59,74;60,31;58,93;59,97
19.08.2019;59,41;59,91;58,74;59,79
16.08.2019;58,9;59,5;58,26;58,64
15.08.2019;59,34;59,44;57,69;58,26
14.08.2019;60,73;60,94;58,23;59,29
13.08.2019;58,2;61,51;57,97;61,28
12.08.2019;58,45;58,88;57,84;58,49
09.08.2019;57,39;59,11;57,33;58,34
08.08.2019;57,64;57,92;56,76;57,63
07.08.2019;58,75;59,07;55,86;57,35
06.08.2019;60,3;60,39;58,82;59,03
05.08.2019;60,96;61,51;59,66;59,8
02.08.2019;61,71;62,9;61,29;61,36
01.08.2019;64,47;64,53;60,01;61,11
31.07.2019;65,15;65,38;65,01;65,13
30.07.2019;64,18;65,01;63,88;64,87
29.07.2019;62,96;63,87;62,92;63,81
26.07.2019;63,47;63,94;63,05;63,34
25.07.2019;63,34;64,25;63,21;63,27
24.07.2019;63,96;64,69;62,63;63,11
23.07.2019;63,59;64,07;62,64;63,99
22.07.2019;63,37;64,04;62,8;63,45
19.07.2019;62,82;63,22;61,84;62,36
18.07.2019;63,84;64,44;61,28;62,46
17.07.2019;64,63;65,28;63,48;63,57
16.07.2019;66,47;67,1;63,84;64,96
15.07.2019;66,69;67,47;66,2;66,2
12.07.2019;66,96;67,28;66,52;66,82
11.07.2019;67,37;67,68;66,41;66,75
10.07.2019;65,22;67,12;65,16;66,77
09.07.2019;63,98;64,75;63,85;64,32
08.07.2019;64,35;65,12;63,75;63,89
05.07.2019;63,34;64,52;62,89;64,29
04.07.2019;63,11;63,93;62,99;63,17
03.07.2019;62,59;63,97;62,07;63,94
02.07.2019;65,33;65,37;62,23;62,63
01.07.2019;66,57;66,74;64,25;65,14
28.06.2019;66,28;66,82;66,12;66,51
27.06.2019;66,05;66,79;65,61;66,25
26.06.2019;66,13;66,82;65,61;66,28
25.06.2019;64,66;65,53;64,32;65,06
24.06.2019;65,66;65,66;64,1;64,89
21.06.2019;64,96;65,75;64,66;65,34
20.06.2019;63,53;64,75;63,09;64,38
19.06.2019;62,4;62,51;61,39;62,34
18.06.2019;60,42;62,8;60,26;62,31
17.06.2019;61,77;62,09;60,74;61,02
14.06.2019;61,51;62,58;60,73;62
13.06.2019;61,96;62,63;60,83;61,29
12.06.2019;61,21;61,39;59,58;59,77
11.06.2019;62,63;62,78;61,99;62,26
10.06.2019;63,56;63,77;62,05;62,31
07.06.2019;62,68;63,56;61,76;63,21
06.06.2019;60,84;62,38;60,31;62,31
05.06.2019;61,55;62,27;0,02;60,62
04.06.2019;61,03;62,11;60,22;61,86
03.06.2019;62,34;62,85;60,61;60,75
31.05.2019;65,92;66,06;64,35;64,56
30.05.2019;69,75;69,95;66,29;66,62
29.05.2019;69,46;69,65;68,06;69,39
28.05.2019;69,83;70,57;69,58;69,81
27.05.2019;68,65;70,18;68,52;69,99
24.05.2019;68,52;69,13;67,34;69,11
